net,length_um
_02940_,1274.64
_02865_,1270.13
_03998_,1243.26
_03987_,1187.73
_03997_,1186.625
clknet_0_clk_i,1147.53
_04033_,1114.4
_02883_,1114.28
_04120_,1094.18
_02947_,1092.35
_04081_,1081.06
_04063_,1058.385
_02944_,1054.72
_02913_,1033.85
_04070_,1026.13
_03011_,1013.43
_02920_,1012.32
_04145_,1005.62
_03103_,1003.665
_02875_,992.04
_02945_,990.86
_02918_,980.81
_02915_,980.58
_04040_,976.62
_02867_,975.97
_05278_,975.1
_05210_,974.3
_05244_,973.39
_02943_,970.64
_02872_,967.6
_04118_,962.83
_04009_,957.59
_04026_,950.12
_05348_,949.395
_04073_,945.675
_02924_,942.28
_02914_,937.365
_04112_,937.325
_03999_,935.81
_04116_,934.95
_04066_,934.85
_02871_,933.6
_02644_,932.74
_02895_,932.67
_04140_,929
_05382_,927.03
_04253_,925.025
_03992_,912.27
_04027_,911.87
_02874_,911.74
_04083_,911.67
_02941_,909.29
_04008_,907.5
_05313_,904.295
_02927_,903.49
_02555_,901.2
_04098_,898.07
_02894_,896.79
_02879_,894.02
_05485_,888.02
_03995_,885.1
_02933_,879.72
_05416_,873.48
_03979_,870.95
_02847_,868.505
_03939_,863.915
_04069_,862.71
_02891_,857.92
_03868_,855.08
_04079_,853.5
_04036_,850.44
net187,844.09
_02938_,836.57
_04088_,836.05
_02609_,835.92
_04307_,833.91
_02892_,833.16
_02886_,833.02
_02909_,826.72
_04092_,825.39
_02563_,824.54
_02901_,821.005
_03024_,820.55
_04068_,819.43
_04100_,814.855
_03982_,814.17
_04006_,813.79
_02868_,808.03
_03066_,807.685
_02890_,806.85
_07029_,804.87
_04147_,800.54
_01491_,797.97
_02567_,794.48
_04091_,792.19
_04065_,790.58
_02888_,788.345
_02559_,788.02
_05141_,785.625
_02905_,784.32
_02906_,782.61
net94,781.51
_01753_,779.82
_04034_,776.06
_03058_,775.84
_02904_,775.82
_02936_,774.46
net186,773.78
_02931_,771.545
_02887_,771.25
_07063_,770.88
_02880_,770.46
_02551_,770.34
net166,769.75
_04139_,769.415
_02549_,769.03
net85,764.25
_02897_,760.545
_03120_,760.13
_02864_,759.98
_02972_,759.43
_02711_,755.685
_04046_,755.52
_04272_,755.33
_02862_,754.96
_04090_,753.615
_01526_,752.97
_02902_,752.06
_04104_,751.96
_04133_,750.21
_05038_,747.64
_02922_,747.54
_04035_,746.7
_04105_,746.1
_06995_,745.54
_02877_,745.14
_04129_,744.98
_04135_,744.33
_02876_,744.17
_05107_,743.66
_05451_,743.32
_02571_,741.18
_02866_,740.53
_02884_,738.07
_02971_,737.965
_04003_,737.51
_06953_,737.51
_04005_,735.86
_04111_,734.04
_02767_,732.975
_04132_,732.815
_04103_,732.04
_01564_,729.84
net128,729.82
_02335_,729.41
_02569_,727.32
_02573_,724.44
_02579_,722.795
_04101_,719.75
_04018_,712.71
_02951_,712.19
_02928_,712.1
_01456_,711.58
_02919_,711.44
_03068_,711.24
_04123_,710.43
_03027_,709.28
_04025_,708.51
_05175_,708.26
_02561_,707.1
net170,706.38
_04017_,705.93
_02577_,704.9
_04143_,703.06
_03994_,702.84
_02937_,701.325
_02764_,700.24
net120,697.96
_04174_,697.54
_01566_,696.7
_05072_,695.7
_02861_,694.91
_03988_,692.19
_03003_,681.06
_02565_,676.08
_02929_,675.245
_04131_,673.11
_02755_,672.6
net54,669.69
_04128_,667.38
_02912_,664.54
_02538_,663.78
_02557_,663.38
_02575_,661.66
_02849_,658.88
net113,657.94
net195,657.22
net116,655.4
_01562_,654.08
_02545_,651.71
_02926_,650.01
_02752_,648.39
_02593_,648.34
_02116_,643.03
_03977_,642.43
_02591_,639.65
_04125_,638.35
net180,637.44
