net,length_um
clknet_0_clk_i,1153.36
_04135_,854.495
net128,850.66
net187,848.99
net113,834.145
net120,816.38
net166,813.175
_04220_,794.69
net116,793.4
_04123_,768.125
net186,766.94
net94,762.98
_03000_,748.42
net170,730.55
_04141_,727.59
net85,724.58
_02984_,705.775
_04158_,691.22
net54,683.24
_02404_,682.13
net180,677.38
net195,667.35
_02980_,666.9
net104,666.54
_02975_,666.01
_04209_,654.2
_02853_,646.88
_02854_,646.845
_01906_,646.49
_02995_,645.86
net179,644.31
_02967_,641.585
_02633_,636.95
net196,635.41
net95,632.585
net46,630.89
_04245_,627.67
_02640_,625.01
_03005_,623.945
_04124_,623.94
_02628_,618.92
_04230_,617.97
net75,609.56
_03009_,607.93
net92,607.72
net167,607.23
_02878_,605.89
_04208_,604.28
_03347_,602.03
_04233_,598.11
_03043_,596.675
_04168_,594.43
_02974_,594.01
_04129_,592.74
_04175_,592.59
_02676_,591.18
net22,590.99
_02850_,587.33
_03016_,587.01
net112,586.9
_04631_,579.84
net103,578.72
_04222_,578.61
_04283_,578.28
_02630_,577.58
net56,573.11
_04226_,572.44
net111,568.82
_04547_,568.03
net70,563.98
net74,563.56
_02624_,561.275
_04137_,561.09
_02847_,557.71
_02679_,557.4
_04119_,557.26
_02999_,553.3
_04247_,552.26
net80,551.14
net101,550.35
_04212_,549.31
_03023_,547.9
net123,546.76
_03046_,546.72
_02673_,545.95
_01621_,544.8
net106,543.7
_02636_,543.2
_04516_,543.02
_02872_,541.34
net10,539.06
net118,538.91
_02876_,538.9
_04177_,538.04
net69,537.2
_02977_,536.87
_02996_,536.065
_02964_,535.46
_04273_,535.435
_04269_,534.09
net64,533.35
_04116_,532.85
_03407_,531.94
_03020_,531.5
_02963_,528.95
net81,528.51
_02860_,525.38
_02906_,524.55
_03077_,524.48
net24,523.69
net100,522.99
net36,522.92
_02100_,522.07
_02688_,521.76
_02979_,521.22
_02683_,520.975
_02689_,520.94
_02694_,520.69
_04285_,517.43
net165,517.26
_03007_,516.58
_05962_,514.97
_03048_,513.54
_02966_,512.2
net121,511.22
_04153_,510.355
_02634_,510.34
_03041_,508.91
net32,508.15
_04268_,507.55
_02682_,507.44
_04494_,507.23
_04232_,506.56
_01819_,505.85
_02691_,505.195
_03165_,504.135
_04260_,503.56
net66,502.99
net105,501.73
_04136_,501.15
_02905_,499.82
_05209_,499.1
_03017_,497.975
_01622_,497.86
_03332_,497.46
_04278_,496.69
_02881_,496.34
net193,496.26
_02638_,494.815
_05347_,493.385
_04279_,492.74
_03050_,491.65
_04496_,491.61
_02949_,491.38
_00297_,491.025
_07136_,490.715
_03202_,490.58
net76,488.31
_02841_,488.07
_05313_,487.72
_04132_,485.75
net77,485.21
_05279_,484.585
net35,484.14
_03040_,484.06
_02976_,482.88
_03450_,481.14
net177,480.545
net37,479.92
net172,479.8
net175,479.03
_03004_,478.29
_03315_,477.66
_02142_,477.64
_03039_,476.82
net109,476.09
_02686_,475.48
net131,474.9
_01672_,474.45
_03030_,474.21
net164,472.555
_01817_,471.865
_03266_,470.99
_04159_,470.11
_03200_,469.44
_04161_,468.63
_04182_,468.575
