net,length_um
_02839_,1132.52
clknet_0_clk_i,1110.42
_02874_,1054.65
_02866_,988.6
_02853_,987.27
_02868_,972.15
_02857_,969.76
_02864_,959.73
_02814_,934.59
_02928_,927.16
_03952_,908.96
_02828_,901.63
_03880_,885.46
_03735_,883.95
_03727_,874.95
_03851_,866.5
_03738_,865.61
_02876_,861.76
net114,861.605
_02955_,856.13
_03740_,855.705
_02939_,853.58
_03734_,851.28
_03005_,850.965
_03726_,845.24
_02870_,842.1
_01739_,840.475
_03811_,839.365
_04447_,838.83
_02829_,836.57
_02872_,834.21
net128,831.58
_02847_,830.39
_03846_,826.55
_03813_,824.06
_03737_,823.59
_02856_,820.01
_02859_,817.99
_04481_,816.5
_02946_,816.275
_04550_,813.11
_02836_,811.29
_03055_,810.33
_03774_,809.665
_03716_,807.33
_02965_,805.14
_03913_,801.43
_02813_,798.34
_03918_,796.53
_02818_,795.83
_02617_,794.49
net177,793.26
_03715_,790.6
_02834_,789.66
_03729_,787.64
_04586_,785.81
net120,785.05
_02862_,779.4
_03730_,774.02
_03950_,773.89
_03099_,773.32
_03772_,773
_02860_,772.44
_04515_,770.76
_04654_,770.04
_02948_,769.575
_04620_,768.84
_03767_,762.08
_03701_,761.47
_03984_,760.86
_03992_,756.72
_02729_,752.95
net113,752.48
_03840_,752.23
_03691_,751.72
_02854_,751.53
_03875_,745.39
_02878_,745.195
_02733_,743.26
_04722_,740.63
_03616_,733.975
_02941_,732.41
_03724_,729.3
_03137_,728.77
_03732_,725.72
_03143_,713.455
_03718_,710.665
_02485_,707.13
net106,703.86
net166,703.21
_03615_,702.445
_03012_,701.28
_03806_,700.32
_06777_,699.33
_03229_,698.43
_02845_,696.21
_06488_,695.91
_02769_,695.2
net116,695.19
net187,693.89
_02842_,693.06
_04375_,690.95
_02942_,690.8
_03709_,690.52
_04303_,688.8
_02411_,685.96
_04688_,681.52
_05226_,681.43
_03139_,679.91
_04411_,679.51
net59,673.715
net170,672.3
_02033_,671.17
_02412_,670.18
_06673_,669.75
_03719_,669.73
net112,667.73
_02944_,666.27
net48,665.85
_04268_,665.62
_03425_,665.14
_02851_,661.79
net68,659.92
_04304_,659.44
_06707_,653.35
_03713_,649.82
_03142_,649.6
net103,649.17
net83,647.41
_03711_,638.55
_04653_,638.055
_02849_,637.465
_02502_,633
_03581_,632.84
_02549_,631.58
_03762_,630.86
_03652_,627.46
net173,624.38
_06599_,623.47
_02482_,623.27
_03742_,622.445
net38,622.02
net121,620.54
_03723_,618.53
net94,617.6
net175,614.84
_04619_,613.69
_04341_,612.515
net184,610.33
net172,605.45
net119,602.66
net179,602.4
_01736_,601.75
_03708_,601.69
_03721_,600.28
_06706_,599.53
_02512_,594.49
_04721_,592.17
_02478_,591.58
_02513_,591.17
net66,589.64
_02487_,588.58
net107,586.32
net99,584.87
_04514_,583.36
net109,580.4
_06672_,577.65
net195,577.4
_02490_,576.88
_06741_,576.18
_02962_,575.7
_02727_,571.45
_03744_,571.1
_01763_,571
_04687_,570.04
_02732_,569.71
_04267_,568.905
_04585_,567.51
net193,567.51
_06563_,566.79
_06776_,566.32
_02722_,564.4
_06528_,562.08
net98,559.05
_02438_,557.96
_02414_,557.39
_02441_,556.79
net124,555.64
_02548_,555.36
net180,553.74
_06564_,553.28
net80,552.45
_02768_,550.49
net196,547.54
_03651_,545.8
net186,545.43
_03580_,545.35
net117,544.34
_06529_,542.15
_02499_,541.47
_01957_,538.07
_02880_,535.09
_02616_,529.66
_02835_,529.035
_04446_,523.18
net167,523.12
_02702_,521.81
_02434_,520.74
net182,515.56
_04480_,513.925
net40,511.2
_02934_,510.38
_06598_,509.16
_02419_,506.89
_02833_,501.76
_02471_,499.28
net54,498.05
_02496_,497.96
net46,496.96
net60,496.25
_02721_,493.97
_01914_,493.91
_02475_,493.64
_06740_,490.565
_02444_,490.49
_04549_,487.45
_01639_,482.14
net97,481.6
_02718_,480.01
_03123_,479.65
_02415_,478.28
net22,477.15
_02430_,475.12
net122,474.41
_02472_,471.98
net92,471.29
_04410_,470.955
net45,467.94
_01492_,466.18
_01454_,464.63
net76,462.37
_02812_,461.98
net81,461.9
_04997_,461.88
_03010_,461.5
net16,459.09
net90,458.68
net65,455.22
_01453_,454.875
_02984_,452.13
_02820_,451.09
net32,447.56
_02426_,446.04
_02447_,445.79
_02488_,444.08
net115,442.68
net61,436.215
net104,435.38
_01505_,434.52
net95,434.2
_02421_,432.78
_04981_,428.75
net69,428.55
_01686_,428.465
_02464_,427.86
net125,427.33
_03262_,425.86
_01535_,425.06
_02493_,423.32
net42,422.22
net102,421.34
_05426_,420.56
_01735_,420.11
_02457_,419.59
_01737_,418.97
_06487_,415.29
_03698_,412.28
net75,411.96
_02479_,411.02
_02503_,411
_02333_,410.36
net85,410.3
_01572_,409.365
_01725_,409.18
_01523_,406.46
net24,406.25
_04881_,401.885
net147,401.16
net151,400.1
_02483_,396.26
_03264_,392.28
_02467_,392.12
_02462_,388.6
clknet_4_4_0_clk_i,388.48
net10,388.38
_04374_,387.7
_01791_,387.515
net111,387.03
net154,385.78
_02465_,384.99
id_stage_i.ID_alu_ctrl_o\[0\],383.84
_04340_,383.51
_01765_,382.87
_01767_,382.7
net14,382.59
_06642_,382.45
clknet_4_2_0_clk_i,382.405
net185,382.35
net27,382.2
_02476_,379.73
_01591_,379.1
_05106_,377.575
_02491_,377.16
net25,376.49
_06366_,375.28
_02347_,374.59
net7,372.96
net6,371.92
net194,370.3
_05008_,369.69
_05217_,369.635
_02458_,368.9
_00297_,368.235
_02423_,368.2
_02505_,367.5
net53,365.37
id_stage_i.ID_alu_ctrl_o\[3\],363.28
net3,362.55
_06194_,361.18
_04859_,360.68
_05032_,360.175
net93,357.67
clknet_4_1_0_clk_i,357.66
net51,357.3
net136,357.06
_05000_,356.94
net18,356.92
clknet_4_13_0_clk_i,356.48
id_stage_i.ID_alu_ctrl_o\[2\],356.41
_02439_,356.22
net164,353.85
_02885_,353
_02445_,352.94
net153,352.53
clknet_4_5_0_clk_i,352.34
net74,351.57
net30,350.6
net63,348.43
net105,347.87
net84,346.7
_02500_,346.165
_01699_,344.94
_06258_,344.72
_04023_,344.42
_02073_,343.78
_01519_,343.58
_01522_,343.37
clk_i,343.16
net134,343.16
clknet_4_7_0_clk_i,343.06
net26,342.52
_05040_,342.26
clknet_4_14_0_clk_i,341.28
_02454_,340.1
clknet_4_15_0_clk_i,339.4
clknet_4_8_0_clk_i,338.18
_02366_,337.62
_04972_,337.45
net23,337.34
clknet_4_0_0_clk_i,337.1
_02408_,336.36
_02450_,336.24
_01575_,334.905
_05046_,334.36
net58,332.56
_03032_,332.16
net1,331.97
_05416_,331.48
net55,331.18
_02497_,329.92
_03284_,329.18
net15,328.86
_04968_,328.25
_05041_,327.92
net181,327.22
_02715_,326.4
net163,325.86
_02448_,323.61
net19,323.18
_02494_,320.92
clknet_4_6_0_clk_i,319.71
_03690_,319.4
_04963_,318.9
net4,318.73
net140,316.845
net17,315.48
clknet_4_3_0_clk_i,314.55
net148,313.77
net138,312.9
_02506_,312.78
_01496_,312.015
_01678_,310.135
_05064_,309.62
_02431_,307.38
_01731_,306.5
net12,306.29
clknet_4_9_0_clk_i,305.61
_05010_,304.91
net70,304.12
_05060_,304.08
_02882_,304.02
_02666_,303.6
net9,303.52
_01495_,303.31
net131,302.8
_06308_,302.61
_02455_,302.04
_05177_,300.51
net141,299.74
net135,299.18
net165,298.7
net132,298.1
net28,297.3
clknet_4_12_0_clk_i,297.22
_01456_,297.15
_05050_,295.88
_05044_,295.34
_02428_,294.78
net108,294.51
_05071_,293.83
_05076_,293.05
_01579_,292.98
_05216_,291.075
net149,290.92
net20,289.77
net36,289.68
_01561_,288.93
net101,288.74
net31,288.71
net5,287.77
net44,287.37
net190,286.78
_03747_,285.19
_02435_,284.16
_05146_,284.03
_05218_,282.92
_05220_,282.305
net56,282.14
_01681_,282.01
_05433_,281.445
net39,281.44
_06107_,281.42
_05498_,280.765
_02407_,280.7
_03412_,280.4
_04867_,279.895
_04993_,279.335
_05014_,279.09
net127,278.22
_02883_,277.45
_02297_,277.18
_05087_,276.735
net52,275.51
net156,275.44
_01560_,273.86
_01651_,273.81
net77,271.28
_05204_,271.23
_06129_,271.15
_05023_,270.86
net169,270.67
_01491_,269.885
net142,269.66
_04913_,266.6
clknet_4_10_0_clk_i,265.6
_05048_,264.08
net110,263.09
_02832_,261.88
_05081_,261.26
_06393_,261.24
net41,261.21
_04813_,260.945
_06157_,260.76
net64,260.36
net143,259.46
_01743_,258.645
_05098_,258.49
_04996_,257.555
_01564_,256.77
_05137_,256.42
_05095_,256.265
net126,256.16
_05129_,255.62
_01714_,254.83
_05109_,254.17
_01716_,253.77
_02468_,252.495
_01988_,251.86
mem_stage_i.MEM_memtoreg_o,251.41
clknet_4_11_0_clk_i,250.95
_02451_,250.38
net139,249.6
net100,249.3
_05198_,248.97
_02677_,248.17
ex_stage_i.EX_mem_wr_en_o,247.4
net123,247.07
net29,245.33
_03746_,245.29
_05893_,244.32
_05417_,243.43
_03707_,243.36
_01676_,242.56
net34,242.2
net8,241.9
net49,241.32
net21,241.07
_05022_,241
_05244_,240.975
_01583_,240.3
net2,239.68
net62,238.85
_03766_,237.62
_04812_,237.035
_06197_,236.99
_05020_,236.58
control_i.ID_alu_source_sel_i\[1\],235.52
_01653_,235.5
_01958_,234.83
_01558_,234.8
_02730_,234.56
net150,234.4
_05632_,233.975
net152,233.52
control_i.EX_branch_en_i,232.54
_02460_,231.45
_05021_,231.3
_05132_,231.18
_05120_,229.67
_04999_,228.08
_01589_,227.68
_01717_,227.58
net157,227.46
_05056_,225.18
_01557_,223.72
_04985_,222.76
_01748_,222.73
branchgen_i.EX_alu_result_i\[1\],222.33
_05857_,222.035
_01517_,220.865
net145,220.16
_05038_,219.03
_04995_,218.81
_05254_,218.61
_01675_,217.06
_05203_,217
_01452_,216.75
_03696_,215.34
_02806_,215.24
_01585_,215.04
_01559_,214.82
control_i.MEM_rd_wr_en_i,214.08
_05125_,213.16
net43,211.38
net11,210.76
net146,210.32
net47,209.9
net192,208.87
_01577_,205.92
_03998_,205.92
_05922_,205.58
_03227_,205.18
branchgen_i.EX_alu_result_i\[0\],204.805
net50,204.72
_05117_,204.1
_02320_,203.36
net67,203.08
id_stage_i.rs1_rd_data\[30\],202.78
control_i.ID_alu_source_sel_i\[0\],202.74
_01640_,200.78
id_stage_i.ID_alu_ctrl_o\[6\],200.04
_05068_,199.65
net137,198.78
_03457_,198.45
_02066_,197.275
net118,197.26
_04883_,197.11
_02409_,196.7
_06155_,196.66
_04961_,196.22
net35,196.2
_01490_,196.06
_01729_,195.88
_01670_,194.97
net13,194.68
net57,194.38
_04150_,194.26
_01582_,194.04
_06195_,193.84
_01720_,192.94
_01611_,191.74
_03110_,191.59
_05456_,191.34
_05004_,190.4
_05029_,190.3
_03915_,189.92
_01750_,189.39
_06235_,189.315
_05042_,189.285
_01527_,186.355
_03112_,186.24
_03565_,185.82
_03437_,185.57
_05110_,185.42
_05277_,185.26
_04143_,184.61
_01537_,184.6
_04991_,184.42
_05158_,184.2
_03912_,183.86
_04047_,183.83
_03497_,182.81
_02050_,181.97
_05684_,181.36
_01719_,180.81
net188,180.35
_01649_,179.23
_05091_,178.62
_05016_,178.36
_04790_,177.92
_03052_,177.6
_01504_,176.94
_05973_,176.58
_01528_,176.48
_04207_,176.06
_01524_,175.87
control_i.ID_jump_en_i,175.6
_06014_,175.51
_02808_,175.235
net130,174.82
_01586_,173.68
branchgen_i.ID_imm2_i\[1\],173.31
_06130_,172.98
_05660_,172.24
_01664_,170.74
_01679_,170.7
_06062_,170.65
_05113_,170.58
_05052_,170.22
_01518_,170.2
_05257_,169.72
_04986_,169.62
branchgen_i.ID_imm2_i\[3\],169.37
_03687_,168.86
_05111_,168.21
_03545_,167.62
_01593_,167.23
_05162_,166.9
net171,166.82
_03292_,166.25
net176,166.02
branchgen_i.ID_imm2_i\[17\],165.6
_04159_,165.28
_04255_,165.11
_05142_,164.64
_06000_,164.32
_05920_,163.86
id_stage_i.rs1_rd_data\[28\],163.53
id_stage_i.rs1_rd_data\[22\],163.46
_05643_,163.09
_05089_,162.28
_06340_,162.24
id_stage_i.ID_alu_ctrl_o\[8\],161.915
_06424_,161.66
_01659_,161.355
_03521_,161.34
_04778_,160.12
_02397_,160.04
_06337_,158.77
_04079_,158.67
_01451_,157.44
_02823_,157.4
_01892_,156.82
_01458_,155.42
_02045_,155.23
_05169_,155.03
net78,154.72
_06234_,154.66
_05196_,152.83
_05793_,152.82
_01744_,152.77
_04239_,152.65
_04977_,152.58
_03755_,152.4
_02277_,152.38
id_stage_i.ID_alu_ctrl_o\[4\],151.94
clknet_leaf_60_clk_i,151.36
_03930_,151.26
_01609_,150.48
_04223_,150.22
_01607_,149.32
branchgen_i.ID_imm2_i\[15\],148.48
_01462_,148.46
_01578_,147.58
_03328_,147.32
_03388_,147.1
net33,146.66
_05150_,146.33
_05180_,145.97
_05425_,145.82
_05826_,145.805
net178,145.56
_01828_,145.48
clknet_leaf_16_clk_i,144.62
net174,144.6
_03473_,143.64
_05055_,143.64
_01598_,143.555
_06338_,143.54
_01455_,143.39
_05884_,143.32
branchgen_i.ID_imm2_i\[28\],143.19
_04175_,142.68
clknet_leaf_135_clk_i,142.63
_01541_,142.24
_05840_,142.13
branchgen_i.ID_imm2_i\[0\],141.35
_06256_,141.32
_04994_,141.08
_01773_,140.68
_03135_,139.92
id_stage_i.rs1_rd_data\[23\],139.88
_01595_,139.3
_01461_,139.105
_04787_,138.95
mem_stage_i.mem_op\[0\],138.09
_01978_,138.075
branchgen_i.ID_imm2_i\[25\],137.11
_02896_,136.88
branchgen_i.ID_imm2_i\[23\],136.78
_01588_,136.73
branchgen_i.ID_imm2_i\[2\],136.68
_02803_,136.36
_03870_,135.94
_04974_,135.635
_02034_,135.54
_04191_,135.4
_05173_,135.4
_05885_,135.38
clknet_leaf_10_clk_i,135.12
id_stage_i.rs2_rd_data\[25\],133.72
_04127_,133.64
_05289_,133.52
_05468_,133.42
_02881_,133.36
_02809_,133
_05227_,132.815
_04976_,132.48
_03695_,132.46
_01587_,132.34
_06423_,131.84
_01580_,131.32
_03888_,130.43
clknet_leaf_107_clk_i,130.135
id_stage_i.rs2_rd_data\[23\],129.4
clknet_leaf_74_clk_i,129.32
_01576_,128.69
branchgen_i.ID_imm2_i\[20\],128
_02204_,127.83
_01620_,126.41
_02078_,126.37
_03745_,125.9
_02067_,125.815
_02961_,125.72
clknet_leaf_79_clk_i,124.44
clknet_leaf_82_clk_i,123.94
_03799_,123.5
clknet_leaf_3_clk_i,123.38
id_stage_i.rs2_rd_data\[29\],123.14
id_stage_i.rs2_rd_data\[21\],123.12
_04111_,122.8
_01622_,122.775
_06427_,122.76
_02907_,122.68
_04987_,122.31
_06030_,122.26
_05214_,122.25
_05026_,122.18
clknet_leaf_26_clk_i,122.08
_04984_,121.83
_02022_,121.77
clknet_leaf_95_clk_i,121.72
clknet_leaf_49_clk_i,121.66
_02064_,121.64
_05562_,120.83
_03271_,120.78
id_stage_i.rs1_rd_data\[13\],120.78
id_stage_i.rs2_rd_data\[10\],120.46
_04302_,120.4
_02056_,120.22
clknet_leaf_83_clk_i,120.16
clknet_leaf_120_clk_i,120.14
ex_stage_i.ID_imm1_i\[0\],120.1
_03368_,120.01
id_stage_i.rs2_rd_data\[5\],119.72
_03348_,119.64
_03077_,119.58
id_stage_i.rs1_rd_data\[12\],119.57
_01584_,119.55
mem_stage_i.MEM_alu_result_o\[1\],119.25
clknet_leaf_161_clk_i,119.22
_01645_,119.14
clknet_leaf_38_clk_i,118.9
branchgen_i.ID_imm2_i\[18\],118.8
clknet_leaf_54_clk_i,118.64
clknet_leaf_167_clk_i,118.62
id_stage_i.rs2_rd_data\[22\],118.42
_02121_,118.18
id_stage_i.ID_alu_ctrl_o\[1\],117.96
_05600_,117.94
id_stage_i.rs2_rd_data\[28\],117.86
_05191_,117.66
_03763_,117.38
_05824_,117.36
clknet_leaf_134_clk_i,117.26
_01509_,116.52
_04031_,116.4
clknet_leaf_47_clk_i,116.14
_03784_,116.06
branchgen_i.ID_pc_i\[4\],116.06
_01514_,115.92
_02098_,115.86
clknet_leaf_43_clk_i,115.54
_05001_,115.26
id_stage_i.rs1_rd_data\[0\],115.24
_02826_,115.22
clknet_leaf_112_clk_i,114.675
_06466_,114.64
clknet_leaf_56_clk_i,114.38
ex_stage_i.ID_imm1_i\[1\],114.29
net159,114.2
clknet_leaf_67_clk_i,113.88
clknet_leaf_4_clk_i,113.82
_04975_,113.57
ex_stage_i.ID_imm1_i\[4\],113.55
_02226_,113.54
_05324_,113.38
clknet_leaf_70_clk_i,113.38
_04954_,113.16
